cpt, raw_angle, angle
79996, 6.0017, 321.2812
79997, 5.994797, 321.2875
79998, 5.989428, 321.2938
79999, 5.984059, 321.3001
80000, 5.977156, 321.3064
80001, 5.97102, 321.3126
80002, 5.964884, 321.3189
80003, 5.958748, 321.3252
80004, 5.952229, 321.3315
80005, 5.947244, 321.3378
80006, 5.939957, 321.3441
80007, 5.934205, 321.3503
80008, 5.928452, 321.3566
80009, 5.921549, 321.3629
80010, 5.916947, 321.3692
80011, 5.911195, 321.3755
80012, 5.905443, 321.3817
80013, 5.89854, 321.3881
80014, 5.893171, 321.3943
80015, 5.887418, 321.4006
80016, 5.88205, 321.4069
80017, 5.877064, 321.4132
80018, 5.870161, 321.4195
80019, 5.865176, 321.4257
80020, 5.858656, 321.432
80021, 5.85137, 321.4383
80022, 5.847151, 321.4446
80023, 5.839865, 321.4509
80024, 5.835647, 321.4572
80025, 5.829127, 321.4634
80026, 5.821841, 321.4697
80027, 5.817239, 321.476
80028, 5.810719, 321.4823
80029, 5.805734, 321.4886
80030, 5.799214, 321.4948
80031, 5.792695, 321.5011
80032, 5.787326, 321.5074
80033, 5.780807, 321.5137
80034, 5.775054, 321.52
80035, 5.768535, 321.5263
80036, 5.763549, 321.5326
80037, 5.757797, 321.5388
80038, 5.751661, 321.5451
80039, 5.745525, 321.5514
80040, 5.739773, 321.5577
80041, 5.73402, 321.564
80042, 5.728268, 321.5703
80043, 5.720981, 321.5765
80044, 5.714078, 321.5828
80045, 5.70986, 321.5891
80046, 5.703724, 321.5954
80047, 5.696438, 321.6017
80048, 5.691836, 321.6079
80049, 5.685316, 321.6142
80050, 5.67803, 321.6205
80051, 5.673045, 321.6268
80052, 5.666525, 321.6331
80053, 5.660006, 321.6394
80054, 5.65502, 321.6456
80055, 5.648117, 321.6519
80056, 5.641981, 321.6582
80057, 5.635845, 321.6645
80058, 5.629326, 321.6708
80059, 5.624341, 321.6771
80060, 5.617821, 321.6833
80061, 5.613219, 321.6896
80062, 5.6067, 321.6959
80063, 5.600564, 321.7022
80064, 5.594044, 321.7085
80065, 5.588292, 321.7148
80066, 5.582923, 321.721
80067, 5.574486, 321.7273
80068, 5.569884, 321.7336
80069, 5.563365, 321.7399
80070, 5.556462, 321.7462
80071, 5.551476, 321.7525
80072, 5.543423, 321.7587
80073, 5.537287, 321.765
80074, 5.530384, 321.7713
80075, 5.524248, 321.7776
80076, 5.518112, 321.7839
80077, 5.51236, 321.7902
80078, 5.506608, 321.7964
80079, 5.498938, 321.8027
80080, 5.492802, 321.809
80081, 5.485132, 321.8153
80082, 5.478229, 321.8216
80083, 5.473243, 321.8279
80084, 5.467491, 321.8341
80085, 5.460972, 321.8404
80086, 5.452151, 321.8467
80087, 5.446399, 321.853
80088, 5.441797, 321.8593
80089, 5.43451, 321.8656
80090, 5.428374, 321.8718
80091, 5.421472, 321.8781
80092, 5.414569, 321.8844
80093, 5.408816, 321.8907
80094, 5.402297, 321.897
80095, 5.395777, 321.9033
80096, 5.388875, 321.9095
80097, 5.381588, 321.9158
80098, 5.373918, 321.9221
80099, 5.368166, 321.9284
80100, 5.361646, 321.9347
80101, 5.353976, 321.9409
80102, 5.347457, 321.9472
80103, 5.340554, 321.9535
80104, 5.334802, 321.9598
80105, 5.327899, 321.9661
80106, 5.319845, 321.9724
80107, 5.314476, 321.9787
80108, 5.307573, 321.9849
80109, 5.301437, 321.9912
80110, 5.294535, 321.9975
80111, 5.286865, 322.0038
80112, 5.281496, 322.0101
80113, 5.275743, 322.0164
80114, 5.269224, 322.0226
80115, 5.262704, 322.0289
80116, 5.254651, 322.0352
80117, 5.249282, 322.0415
80118, 5.242379, 322.0478
80119, 5.23586, 322.0541
80120, 5.228957, 322.0603
80121, 5.222054, 322.0666
80122, 5.216685, 322.0729
80123, 5.209399, 322.0792
80124, 5.203646, 322.0855
80125, 5.19636, 322.0917
80126, 5.190608, 322.098
80127, 5.184088, 322.1043
80128, 5.177568, 322.1106
80129, 5.171816, 322.1169
80130, 5.164913, 322.1232
80131, 5.159544, 322.1295
80132, 5.152258, 322.1357
80133, 5.146505, 322.142
80134, 5.140753, 322.1483
80135, 5.13385, 322.1546
80136, 5.128481, 322.1609
80137, 5.121962, 322.1671
80138, 5.115826, 322.1734
80139, 5.109306, 322.1797
80140, 5.103938, 322.186
80141, 5.096651, 322.1923
80142, 5.091666, 322.1986
80143, 5.084379, 322.2048
80144, 5.078627, 322.2111
80145, 5.072491, 322.2174
80146, 5.065588, 322.2237
80147, 5.059835, 322.23
80148, 5.052933, 322.2363
80149, 5.04718, 322.2426
80150, 5.041044, 322.2488
80151, 5.034908, 322.2551
80152, 5.028772, 322.2614
80153, 5.022253, 322.2677
80154, 5.015734, 322.274
80155, 5.009214, 322.2802
80156, 5.003845, 322.2865
80157, 4.997326, 322.2928
80158, 4.991957, 322.2991
80159, 4.985821, 322.3054
80160, 4.980452, 322.3117
80161, 4.974699, 322.3179
80162, 4.966646, 322.3242
80163, 4.961277, 322.3305
80164, 4.953991, 322.3368
80165, 4.948622, 322.3431
80166, 4.94287, 322.3494
80167, 4.93635, 322.3557
80168, 4.928297, 322.3619
80169, 4.921394, 322.3682
80170, 4.914875, 322.3745
80171, 4.908739, 322.3808
80172, 4.902603, 322.3871
80173, 4.8957, 322.3933
80174, 4.890331, 322.3996
